nome,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
CAIXA ECONÔMICA FEDERAL - CEF,1131,1530,1692,699,317,316,135,103,75,42
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,14,29,103,126,113,77,142,1153,1700,17
TELEMAR NORTE LESTE SA,0,0,2,158,3,8,673,2160,186,35
ESTADO DA BAHIA,98,75,154,192,201,163,409,367,453,175
UNIÃO,36,82,339,489,201,171,320,227,120,72
TELEMAR NORTE LESTE SA - FILIAL BAHIA,0,0,69,496,3,5,0,0,0,0
PETRÓLEO BRASILEIRO SA - PETROBRAS,97,46,51,43,20,36,51,50,30,39
"TELEMAR NORTE LESTE SA - FILIAL BAHIA (NOVA DENOMINAÇÃO DA TELECOMUNICAÇÕES DO RIO DE JANEIRO SA, SUCESSORA POR INCORPORAÇÃO DA TELECOMUNICAÇÕES DA BAHIA SA)",0,0,213,239,1,0,0,0,0,0
TELECOMUNICAÇÕES DA BAHIA SA - TELEBAHIA,4,2,68,185,3,2,1,2,1,2
MINISTÉRIO PÚBLICO DO ESTADO DA BAHIA,1,0,4,10,43,38,42,34,22,18
FUNDAÇÃO NACIONAL DE SAÚDE - FUNASA,0,0,2,0,1,1,6,64,46,81
UNIVERSIDADE FEDERAL DA BAHIA - UFBA,4,2,10,21,22,16,26,22,53,24
MUNICÍPIO DE SALVADOR,9,2,21,21,18,17,29,23,23,14
SUPERIOR TRIBUNAL DE JUSTIÇA,1,3,5,7,14,20,23,35,43,23
BANCO DO BRASIL SA,20,16,15,11,12,18,15,34,11,2
EMPRESA BAIANA DE ÁGUAS E SANEAMENTO SA - EMBASA,2,0,1,3,2,3,7,2,64,64
MINISTÉRIO PÚBLICO FEDERAL,5,4,3,12,10,22,18,27,23,19
BANCO DO NORDESTE DO BRASIL SA,0,3,5,15,25,20,26,17,14,6
BANCO ECONÔMICO SA (EM LIQUIDAÇÃO EXTRAJUDICIAL),10,10,34,40,2,0,0,0,2,0
MUNICÍPIO DE JUAZEIRO,70,11,9,3,0,1,0,0,1,2
BANCO BRADESCO SA,5,7,3,8,10,6,10,11,25,12
FUNDAÇÃO PETROBRÁS DE SEGURIDADE SOCIAL - PETROS,1,1,1,3,3,12,6,16,26,24
FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCAÇÃO - FNDE,3,20,46,11,4,0,0,0,0,1
TRIBUNAL DE JUSTIÇA DO ESTADO DA BAHIA,4,1,3,10,5,5,3,30,12,4
UNIÃO FEDERAL,46,0,4,2,0,0,0,0,0,0
BANCO CENTRAL DO BRASIL,0,5,4,12,8,8,6,2,3,2
COMPANHIA HIDRO ELÉTRICA DO SÃO FRANCISCO - CHESF,0,2,2,2,1,15,27,1,0,0
"CAPEMI - CAIXA DE PECÚLIOS, PENSÕES E MONTEPIOS BENEFICENTE",0,0,0,0,4,2,13,21,7,2
MUNICÍPIO DE CAMAÇARI,0,8,6,6,0,3,11,9,4,0
BANCO ABN AMRO REAL SA,0,2,5,3,2,0,11,13,4,0
SUL AMÉRICA SEGURO SAÚDE SA,0,0,0,0,0,2,9,21,5,2
ASSEMBLÉIA LEGISLATIVA DO ESTADO DA BAHIA,4,3,1,6,6,5,3,4,5,1
LOSANGO PROMOTORA DE VENDAS LTDA,0,1,3,19,13,0,2,0,0,0
FUNDAÇÃO PETROBRAS DE SEGURIDADE SOCIAL - PETROS,0,0,0,0,0,0,3,7,12,15
BTU - BAHIA TRANSPORTES URBANOS LTDA,1,0,0,1,6,4,12,7,1,3
MUNICÍPIO DE SIMÕES FILHO,1,0,0,1,0,7,15,3,5,2
TELECOMUNICAÇÕES DE SÃO PAULO SA - TELESP,0,0,0,0,2,2,5,24,0,0
COMPANHIA BRASILEIRA DE DISTRIBUIÇÃO,0,0,7,4,6,2,7,4,3,0
TNL PCS SA,0,0,0,0,0,0,4,14,7,7
MINISTÉRIO PÚBLICO ELEITORAL,0,0,0,1,2,0,3,2,24,0
MUNICÍPIO DO SALVADOR,0,0,0,7,7,1,1,5,10,1
BANCO BANEB SA,0,0,4,5,2,3,3,6,4,4
OS MESMOS,4,2,6,1,2,0,4,4,6,1
EMPRESA BRASILEIRA DE CORREIOS E TELÉGRAFOS - ECT,3,0,4,3,2,5,1,4,6,2
DEPARTAMENTO NACIONAL DE OBRAS CONTRA AS SECAS - DNOCS,7,3,1,3,2,0,4,5,3,1
TELEMAR NORTE LESTE SA - FILIAL BAHIA (NOVA DENOMINAÇÃO DA TELECOMUNICAÇÕES DA BAHIA SA - TELEBAHIA),0,0,8,20,0,0,0,0,0,0
EMPRESA BRASILEIRA DE INFRA-ESTRUTURA AEROPORTUÁRIA - INFRAERO,0,0,2,1,1,3,13,1,5,2
RELATORA DO INQUÉRITO Nº 561 DO SUPERIOR TRIBUNAL DE JUSTIÇA,0,0,0,0,0,0,0,27,0,0
INSTITUTO BRASILEIRO DO MEIO AMBIENTE E DOS RECURSOS NATURAIS RENOVÁVEIS - IBAMA,0,1,0,0,0,11,5,5,5,0
SINDICATO DOS VENDEDORES DE JORNAIS E REVISTAS E EMPREGADOS EM EMPRESAS DISTRIBUIDORAS DE JORNAIS E REVISTAS DO ESTADO DA BAHIA,3,0,0,13,0,0,6,4,0,1
