nome,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
CAIXA ECONÔMICA FEDERAL - CEF,2039,490,430,3081,2853,708,117,25,15,6
UNIÃO,140,155,160,679,905,337,403,386,251,88
ESTADO DO CEARÁ,287,250,325,411,235,280,221,224,359,133
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,31,16,130,145,79,65,81,96,112,20
MUNICÍPIO DE FORTALEZA,25,26,32,38,18,20,46,27,33,7
DEPARTAMENTO NACIONAL DE OBRAS CONTRA AS SECAS - DNOCS,24,15,24,39,37,45,33,22,21,5
UNIÃO FEDERAL,209,2,2,1,0,0,0,0,0,0
MINISTÉRIO PÚBLICO FEDERAL,4,6,11,12,15,22,26,22,41,15
INSTITUTO NACIONAL DE COLONIZAÇÃO E REFORMA AGRÁRIA - INCRA,1,3,13,7,6,10,45,22,19,5
MINISTÉRIO PÚBLICO DO ESTADO DO CEARÁ,0,0,18,11,16,11,23,13,25,10
BANCO DO NORDESTE DO BRASIL SA,4,10,8,32,18,13,12,6,6,5
SUPERIOR TRIBUNAL DE JUSTIÇA,2,1,1,7,6,7,10,13,23,19
TELEMAR NORTE LESTE SA,0,0,0,0,0,0,31,32,16,10
COMPANHIA ENERGÉTICA DO CEARÁ - COELCE,25,13,11,6,9,5,4,4,9,3
SINDICATO DOS TRABALHADORES DO SERVIÇO PÚBLICO FEDERAL NO ESTADO DO CEARÁ - SINTSEFCE,10,7,7,14,9,5,9,4,3,1
BANCO DO BRASIL SA,10,2,2,9,12,7,4,9,3,0
UNIVERSIDADE FEDERAL DO CEARÁ - UFC,4,2,7,16,2,5,7,7,5,0
BANCO CENTRAL DO BRASIL,5,5,4,6,11,8,6,5,2,3
DEPARTAMENTO NACIONAL DE ESTRADAS DE RODAGEM - DNER,31,8,1,8,2,0,1,1,0,0
ASSEMBLÉIA LEGISLATIVA DO ESTADO DO CEARÁ,5,3,3,13,8,2,6,3,0,2
UNIVERSIDADE FEDERAL DO CEARÁ,3,8,4,8,7,6,2,3,2,1
GOVERNADOR DO ESTADO DO CEARÁ,4,5,2,14,2,2,6,3,0,5
EMPRESA BRASILEIRA DE CORREIOS E TELÉGRAFOS - ECT,2,0,2,1,4,1,17,6,4,3
INSTITUTO DE PREVIDÊNCIA DO ESTADO DO CEARÁ - IPEC,10,0,2,4,3,12,8,0,0,0
CAIXA DE PREVIDÊNCIA DOS FUNCIONÁRIOS DO BANCO DO NORDESTE DO BRASIL - CAPEF,3,1,4,18,5,1,1,1,1,3
INSTITUTO DR JOSÉ FROTA - IJF,0,0,0,0,1,4,2,13,16,1
INSTITUTO DR. JOSÉ FROTA - IJF,0,4,0,1,6,8,7,6,2,1
FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCAÇÃO - FNDE,0,0,3,19,7,4,1,0,0,1
SINDICATO DOS TRABALHADORES DO SERVIÇO PÚBLICO FEDERAL NO ESTADO DO CEARÁ - SINTSEF-CE,10,5,3,4,11,1,0,0,0,0
ASSOCIAÇÃO DOS SERVIDORES DO DEPARTAMENTO NACIONAL DE OBRAS CONTRA AS SECAS - ASSECAS,0,0,0,2,2,0,3,25,1,0
FUNDAÇÃO NACIONAL DE SAÚDE - FUNASA,0,0,3,10,3,0,3,5,4,2
PROCURADOR-GERAL DA REPÚBLICA,1,2,0,8,6,2,5,5,0,0
OS MESMOS,0,2,1,5,5,4,6,5,0,0
MINISTÉRIO PÚBLICO ESTADUAL,5,20,1,1,0,0,0,0,0,0
INSTITUTO BRASILEIRO DO MEIO AMBIENTE E DOS RECURSOS NATURAIS RENOVÁVEIS - IBAMA,5,0,2,4,10,1,3,1,0,0
BANCO DO ESTADO DO CEARÁ SA - BEC,2,1,2,5,0,3,10,1,0,0
UNIVERSIDADE FEDERAL DO CEARÁ - UFCE,2,0,2,0,4,2,5,2,2,5
MINISTÉRIO PÚBLICO DO TRABALHO,0,1,1,5,1,3,1,3,6,2
INSTITUTO DR. JOSÉ FROTA,0,2,1,0,4,5,9,0,1,0
BANCO ABN AMRO REAL SA,1,0,7,7,2,2,2,1,0,0
SINDICATO DOS EMPREGADOS EM ESTABELECIMENTOS BANCÁRIOS NO ESTADO DO CEARÁ,4,2,2,8,1,0,1,2,0,1
INSTITUTO DR JOSÉ FROTA,0,0,0,0,0,1,5,4,7,4
HAPVIDA ASSISTÊNCIA MÉDICA LTDA,0,0,0,0,2,0,9,8,2,0
SERVIÇO FEDERAL DE PROCESSAMENTO DE DADOS - SERPRO,7,3,3,2,0,0,0,1,3,1
MINISTÉRIO PÚBLICO DO TRABALHO DA 7ª REGIÃO,1,1,12,0,0,0,0,3,0,2
PROCURADORIA REGIONAL ELEITORAL DO CEARÁ,0,1,0,11,4,0,2,0,0,0
EXPEDITO CHAVES CAVALCANTE,0,0,0,15,3,0,0,0,0,0
SINDICATO DOS TRABALHADORES DO SERVIÇO PÚBLICO FEDERAL DO ESTADO DO CEARÁ - SINTSEFCE,9,0,3,2,3,1,0,0,0,0
COMPANHIA DE ÁGUA E ESGOTO DO CEARÁ - CAGECE,0,0,2,9,4,1,1,0,0,0
SUPERIOR TRIBUNAL MILITAR,0,0,1,0,0,1,4,7,4,0
