nome,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
ESTADO DO ESPÍRITO SANTO,145,103,187,220,96,69,200,115,127,65
UNIÃO,36,43,56,146,72,164,182,195,261,39
CAIXA ECONÔMICA FEDERAL - CEF,156,233,186,163,43,5,13,6,17,1
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,52,36,34,38,17,19,282,136,39,51
ARACRUZ CELULOSE SA,7,8,13,25,18,18,104,127,83,31
MINISTÉRIO PÚBLICO DO ESTADO DO ESPÍRITO SANTO,0,1,23,24,19,66,32,58,55,57
BANCO DO ESTADO DO ESPÍRITO SANTO SA - BANESTES,17,31,82,52,29,28,29,27,29,10
COMPANHIA SIDERÚRGICA DE TUBARÃO - CST,18,7,13,41,22,18,59,40,29,9
MUNICÍPIO DE VITÓRIA,15,11,16,47,21,22,24,25,33,9
TELEMAR NORTE LESTE SA,0,0,0,1,1,9,53,114,25,15
COMPANHIA VALE DO RIO DOCE - CVRD,7,8,38,37,26,24,28,30,12,5
ESPÍRITO SANTO CENTRAIS ELÉTRICAS SA - ESCELSA,5,3,17,31,7,4,37,39,20,6
SUPERIOR TRIBUNAL DE JUSTIÇA,1,4,8,5,14,16,23,15,26,17
GOVERNADOR DO ESTADO DO ESPÍRITO SANTO,15,7,29,26,11,16,10,4,6,4
ASSEMBLÉIA LEGISLATIVA DO ESTADO DO ESPÍRITO SANTO,15,7,24,22,9,14,13,1,1,3
MINISTÉRIO PÚBLICO FEDERAL,4,1,11,7,7,20,18,10,15,15
BANESTES SA - BANCO DO ESTADO DO ESPÍRITO SANTO,0,0,0,0,0,0,19,33,24,9
COIMEX ADMINISTRAÇÃO DE CONSÓRCIOS LTDA,0,0,0,0,0,0,0,34,11,31
UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO - UFES,20,8,7,3,2,3,4,12,13,4
FUNDAÇÃO COSIPA DE SEGURIDADE SOCIAL - FEMCO,0,0,0,0,0,0,1,13,53,2
FUNDAÇÃO NACIONAL DE SAÚDE - FUNASA,0,0,0,0,0,0,5,1,55,3
FIBRIA CELULOSE SA,0,0,0,0,0,5,40,2,5,8
COMPANHIA DOCAS DO ESPÍRITO SANTO - CODESA,1,0,6,8,2,3,2,9,16,4
TRIBUNAL DE JUSTIÇA DO ESTADO DO ESPÍRITO SANTO,6,2,3,8,6,5,4,5,8,2
MUNICÍPIO DE CARIACICA,1,0,1,0,4,1,8,15,11,7
SINDICATO DOS EMPREGADOS EM ESTABELECIMENTOS BANCÁRIOS NO ESTADO DO ESPÍRITO SANTO,12,8,6,6,2,0,1,6,5,1
TRIBUNAL REGIONAL DO TRABALHO DA 17ª REGIÃO,43,0,0,2,0,0,0,0,0,0
BANCO DO BRASIL SA,2,2,6,11,0,7,6,2,3,4
CONCESSIONÁRIA RODOVIA DO SOL SA,0,0,0,0,4,3,15,14,3,2
MUNICÍPIO DE VILA VELHA,2,1,1,8,2,1,11,8,2,3
DEPARTAMENTO ESTADUAL DE TRÂNSITO DO ESTADO DO ESPÍRITO SANTO - DETRANES,0,0,0,1,4,10,4,6,11,3
INSTITUTO ESTADUAL DE SAÚDE PÚBLICA - IESP,0,1,1,10,9,3,5,3,1,2
UNIÃO FEDERAL,35,0,0,0,0,0,0,0,0,0
MUNICÍPIO DE CACHOEIRO DE ITAPEMIRIM,0,2,19,5,3,0,2,1,2,0
MASSA FALIDA DA COMPANHIA FERRO E AÇO DE VITÓRIA - COFAVI,0,0,0,0,0,0,0,3,29,1
COMPANHIA SIDERÚRGICA DE TUBARÃO,2,2,4,2,9,4,2,4,3,0
BANCO BRADESCO SA,6,2,4,4,0,0,4,7,3,2
COMPANHIA VALE DO RIO DOCE,0,0,0,0,0,2,15,6,5,2
COMPANHIA ESPÍRITO SANTENSE DE SANEAMENTO - CESAN,2,1,5,0,2,0,2,7,9,0
PROCURADOR-GERAL DA REPÚBLICA,1,2,0,11,6,3,1,1,2,1
BANCO ABN AMRO REAL SA,2,2,3,4,4,2,1,7,0,2
EMPRESA BRASILEIRA DE CORREIOS E TELÉGRAFOS - ECT,1,3,3,5,3,3,3,4,0,0
MINISTÉRIO PÚBLICO DO TRABALHO DA 17ª REGIÃO,2,0,6,7,0,0,1,3,4,2
CODESA - COMPANHIA DOCAS DO ESPÍRITO SANTO,0,0,0,0,0,0,0,5,15,2
MINISTÉRIO PÚBLICO DO TRABALHO,0,0,2,1,3,0,1,5,6,4
PROFORTE SA - TRANSPORTE DE VALORES,0,0,0,0,0,5,9,2,1,4
UNIBANCO - UNIÃO DE BANCOS BRASILEIROS SA,4,0,4,7,2,0,1,0,3,0
FUNDAÇÃO VALE DO RIO DOCE DE SEGURIDADE SOCIAL - VALIA,1,1,2,2,4,2,4,4,1,0
JUIZA PRESIDENTA DO TRIBUNAL REGIONAL DO TRABALHO DA 17ª REGIÃO,19,0,0,0,0,0,0,0,0,0
COMPANHIA SIDERÚRGICA PAULISTA - COSIPA,0,0,0,0,0,0,0,1,16,1
