nome,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
CAIXA ECONÔMICA FEDERAL - CEF,295,333,352,221,71,73,19,4,5,2
ESTADO DO PARÁ,82,106,139,161,66,99,87,176,96,51
UNIÃO,35,71,222,110,36,29,74,85,41,33
BANCO DA AMAZÔNIA SA,41,24,45,52,32,34,28,22,17,18
BANCO DA AMAZÔNIA SA - BASA,0,0,0,2,2,7,37,81,87,71
CAIXA DE PREVIDÊNCIA E ASSISTÊNCIA AOS FUNCIONÁRIOS DO BANCO DA AMAZÔNIA SA - CAPAF,47,34,50,32,22,18,13,24,9,6
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,4,10,22,26,21,11,14,74,15,8
UNIVERSIDADE FEDERAL DO PARÁ - UFPA,45,25,17,15,24,10,20,15,22,10
CENTRAIS ELÉTRICAS DO NORTE DO BRASIL SA - ELETRONORTE,0,0,0,0,4,8,76,77,26,1
MINISTÉRIO PÚBLICO FEDERAL,2,1,6,13,40,27,22,38,18,15
SINDICATO DOS TRABALHADORES NO SERVIÇO PÚBLICO FEDERAL NO ESTADO DO PARÁ - SINTSEPPA,19,11,48,31,1,5,1,2,1,2
MUNICÍPIO DE SANTARÉM,0,0,3,0,0,20,20,49,20,3
SUPERIOR TRIBUNAL DE JUSTIÇA,5,7,9,11,11,21,12,14,11,13
CENTRAIS ELÉTRICAS DO PARÁ SA - CELPA,1,1,0,4,0,4,39,24,17,4
MINISTÉRIO PÚBLICO DO TRABALHO,0,0,1,1,0,10,3,56,1,5
MINISTÉRIO PÚBLICO DO ESTADO DO PARÁ,0,0,4,5,2,11,7,31,7,6
MUNICÍPIO DE BELÉM,1,1,6,12,0,5,15,23,3,5
INSTITUTO DE PREVIDÊNCIA E ASSISTÊNCIA DOS SERVIDORES DO ESTADO DO PARÁ - IPASEP,6,38,18,6,2,1,0,0,0,0
CAIXA DE PREVIDÊNCIA COMPLEMENTAR DO BANCO DA AMAZÔNIA - CAPAF,0,0,0,0,0,5,9,15,19,21
TELEMAR NORTE LESTE SA,0,0,3,8,0,4,13,21,16,4
CAIXA DE PREVIDÊNCIA COMPLEMENTAR DO BANCO DA AMAZÔNIA SA - CAPAF,0,0,0,0,5,2,3,17,29,8
BANCO DO BRASIL SA,12,8,8,18,1,1,6,7,2,1
FUNDAÇÃO NACIONAL DE SAÚDE - FUNASA,0,0,1,2,7,3,7,13,13,14
TELEMAR NORTE LESTE SA - FILIAL PARÁ,0,1,14,36,5,0,0,0,0,0
UNIÃO FEDERAL,56,0,0,0,0,0,0,0,0,0
BANCO DO ESTADO DO PARÁ SA,0,1,5,0,1,7,10,22,6,3
INSTITUTO NACIONAL DE COLONIZAÇÃO E REFORMA AGRÁRIA - INCRA,10,0,3,5,3,1,9,12,9,2
ASSEMBLÉIA LEGISLATIVA DO ESTADO DO PARÁ,3,3,7,2,15,5,9,2,6,1
COMPANHIA DE SANEAMENTO DO PARÁ - COSANPA,34,6,0,0,0,2,3,5,1,2
MINISTÉRIO PÚBLICO ELEITORAL,0,0,0,0,2,0,2,12,28,7
CENTRAIS ELÉTRICAS DO NORTE DO BRASIL SA,0,0,0,0,0,0,6,33,3,0
COMPANHIA DOCAS DO PARÁ - CDP,21,5,10,3,0,1,1,0,0,0
UNIMED BELÉM - COOPERATIVA DE TRABALHO MÉDICO,0,0,1,10,2,4,9,8,5,1
PROTECT SERVICE - SERVIÇOS ESPECIALIZADOS DE SEGURANÇA LTDA,0,0,0,0,0,0,0,2,21,16
TELECOMUNICAÇÕES DO PARÁ SA - TELEPARÁ,12,17,10,0,0,0,0,0,0,0
TRIBUNAL REGIONAL DO TRABALHO DA 8ª REGIÃO,3,1,0,0,4,3,5,2,16,4
COMPANHIA VALE DO RIO DOCE - CVRD,4,7,12,0,4,3,0,0,3,3
TRIBUNAL DE JUSTIÇA DO ESTADO DO PARÁ,4,5,3,3,3,1,4,2,3,5
MINISTÉRIO PÚBLICO DO TRABALHO DA 8ª REGIÃO,1,0,0,5,3,16,0,3,1,1
SUPERIOR TRIBUNAL MILITAR,0,1,5,1,2,5,5,4,4,1
EMPRESA BRASILEIRA DE CORREIOS E TELÉGRAFOS - ECT,5,5,4,3,1,2,4,2,1,1
SINDICATO DOS TRABALHADORES NAS INDÚSTRIAS URBANAS DO ESTADO DO PARÁ - STIUPA,19,4,0,0,0,0,2,0,0,2
GOVERNADOR DO ESTADO DO PARÁ,1,2,1,3,6,3,3,1,2,1
FUNDAÇÃO CENTRO DE HEMOTERAPIA E HEMATOLOGIA DO PARÁ - HEMOPA,0,0,0,0,0,0,0,0,0,23
JUIZ DO TRABALHO DA 13ª VARA DO TRABALHO DE BELÉM (PROCESSO Nº 00187-2005-013-08-00-7),0,0,0,0,0,0,0,22,0,0
"TELEMAR NORTE LESTE SA - FILIAL PARÁ (NOVA DENOMINAÇÃO DA TELECOMUNICAÇÕES DO RIO DE JANEIRO SA - TELERJ, SUCESSORA POR INCORPORAÇÃO DA TELECOMUNICAÇÕES DO PARÁ SA - TELASA)",0,1,11,10,0,0,0,0,0,0
JUIZ DO TRABALHO DA 13º VARA DO TRABALHO DE BELÉM (AÇÃO CIVIL PÚBLICA Nº 0187-2005-013-08-00-7),0,0,0,0,0,0,0,22,0,0
EMPRESA BRASILEIRA DE INFRA-ESTRUTURA AEROPORTUÁRIA - INFRAERO,0,0,0,1,2,7,4,3,2,3
COMPANHIA DE DESENVOLVIMENTO E ADMINISTRAÇÃO DA ÁREA METROPOLITANA DE BELÉM - CODEM,4,3,7,1,5,1,0,0,0,0
BANCO DA AMAZONIA SA - BASA,0,0,0,0,0,0,2,5,10,3
