nome,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
CAIXA ECONÔMICA FEDERAL - CEF,1890,359,205,889,770,291,49,17,22,4
TELEMAR NORTE LESTE SA,0,0,0,3,4,3,529,749,642,35
UNIÃO,141,154,114,279,291,116,116,167,99,38
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,52,27,60,294,199,171,231,181,80,34
ESTADO DA PARAÍBA,152,55,68,74,55,79,103,42,23,25
UNIVERSIDADE FEDERAL DA PARAÍBA - UFPB,52,31,56,109,135,77,22,14,8,3
UNIÃO FEDERAL,298,2,0,0,0,0,0,0,0,0
EMPRESA BRASILEIRA DE CORREIOS E TELÉGRAFOS - ECT,6,6,10,161,14,6,10,7,0,2
BANCO DO NORDESTE DO BRASIL SA,2,0,10,51,27,32,49,14,16,2
MINISTÉRIO PÚBLICO DO ESTADO DA PARAÍBA,2,0,16,13,25,47,26,30,17,10
MUNICÍPIO DE JOÃO PESSOA,4,5,7,8,6,9,28,32,19,8
INSTITUTO BRASILEIRO DO MEIO AMBIENTE E DOS RECURSOS NATURAIS RENOVÁVEIS - IBAMA,66,17,10,1,0,12,2,1,4,0
MINISTÉRIO PÚBLICO FEDERAL,4,3,4,9,10,21,12,12,22,9
UNIVERSIDADE FEDERAL DA PARAÍBA,0,0,0,1,0,9,43,27,11,1
SINDICATO DOS TRABALHADORES EM SERVIÇO PÚBLICO FEDERAL NO ESTADO DA PARAÍBA - SINTSERFPB,40,11,8,11,6,2,0,0,1,0
FUNDAÇÃO NACIONAL DE SAÚDE - FUNASA,0,1,1,8,15,11,11,16,8,1
MINISTÉRIO PÚBLICO ESTADUAL,41,24,0,0,0,0,0,0,0,0
BANCO ABN AMRO REAL SA,0,1,2,4,1,16,27,9,4,0
SUPERIOR TRIBUNAL DE JUSTIÇA,0,1,1,5,12,14,13,6,9,2
BANCO DO BRASIL SA,1,7,8,12,2,11,7,3,4,4
DEPARTAMENTO NACIONAL DE OBRAS CONTRA AS SECAS - DNOCS,23,3,10,3,2,1,2,0,2,1
INSTITUTO NACIONAL DE COLONIZAÇÃO E REFORMA AGRÁRIA - INCRA,4,1,0,4,4,9,9,4,9,2
TRIBUNAL DE JUSTIÇA DO ESTADO DA PARAÍBA,4,2,0,5,9,5,3,10,3,1
FUNDAÇÃO NACIONAL DO ÍNDIO - FUNAI,13,16,3,7,0,0,2,0,0,0
FUNDAÇÃO DOS ECONOMIÁRIOS FEDERAIS - FUNCEF,0,0,0,0,0,5,2,8,12,4
MINISTÉRIO PÚBLICO DO TRABALHO,0,0,3,3,0,1,4,7,9,4
DEPARTAMENTO NACIONAL DE ESTRADAS DE RODAGEM - DNER,13,2,3,8,0,2,0,0,0,0
BANCO CENTRAL DO BRASIL,2,2,5,6,2,2,2,2,2,0
CAIXA DE PREVIDÊNCIA DOS FUNCIONÁRIOS DO BANCO DO NORDESTE DO BRASIL - CAPEF,0,0,0,14,10,0,1,0,0,0
GOVERNADOR DO ESTADO DA PARAÍBA,1,4,0,4,5,5,0,0,0,4
FUNDAÇÃO INSTITUTO BRASILEIRO DE GEOGRAFIA E ESTATÍSTICA - IBGE,9,4,2,1,2,1,0,1,2,0
MUNICÍPIO DE BAYEUX,0,0,0,0,0,0,3,12,3,3
ASSEMBLÉIA LEGISLATIVA DO ESTADO DA PARAÍBA,0,2,1,3,5,4,2,0,0,4
MUNICÍPIO DE ESPERANÇA,0,0,0,0,0,0,0,7,10,1
CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA DA PARAÍBA - CEFETPB,1,1,4,3,5,2,1,0,0,1
FUNDAÇÃO NACIONAL DE SAÚDE - FNS,7,4,0,1,1,3,0,1,0,0
TRIBUNAL DE CONTAS DO ESTADO DA PARAÍBA,0,0,2,1,7,2,4,1,0,0
BANCO ITAÚ SA,1,1,3,1,2,2,2,0,5,0
COLÉGIO PIO X,4,12,0,0,0,0,0,0,0,0
MINISTÉRIO PÚBLICO DO TRABALHO DA 13ª REGIÃO,0,0,4,3,0,0,3,1,5,0
MINISTÉRIO PÚBLICO ELEITORAL,0,0,3,0,0,0,0,2,1,10
PRESIDENTE DO TRIBUNAL DE JUSTIÇA DO ESTADO DA PARAÍBA,5,4,1,0,3,0,1,1,0,0
SINDICATO NACIONAL DOS DOCENTES DAS INSTITUIÇÕES DE ENSINO SUPERIOR - ANDES,0,0,1,2,0,0,7,2,3,0
UNIVERSIDADE ESTADUAL DA PARAÍBA - UEPB,0,0,0,0,1,3,8,1,2,0
MUNICÍPIO DE CAAPORÃ,0,0,0,0,0,0,0,15,0,0
MUNICÍPIO DE AREIA,0,1,0,0,0,5,3,2,3,0
MUNICÍPIO DE CAMPINA GRANDE,2,4,0,0,0,0,4,1,1,1
RAFAEL PEREIRA DE ALBUQUERQUE,0,0,0,0,0,0,0,7,4,2
GRAMAME INDUSTRIAL E AGRÍCOLA SA - GIASA,3,3,1,3,0,1,1,0,0,1
OS MESMOS,0,0,1,0,3,3,3,3,0,0
