nome,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
UNIÃO,487,652,908,1784,2450,9097,11354,3753,2060,695
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,2625,1668,1533,1537,484,651,6958,876,442,185
CAIXA ECONÔMICA FEDERAL - CEF,2282,4046,3380,2309,1484,72,160,119,123,45
MUNICÍPIO DO RIO DE JANEIRO,181,165,384,920,1010,1329,2039,1713,1066,551
TELEMAR NORTE LESTE SA,0,3,3,63,889,5549,827,1038,521,127
ESTADO DO RIO DE JANEIRO,358,434,776,1119,770,805,1263,1943,954,439
MINISTÉRIO PÚBLICO DO ESTADO DO RIO DE JANEIRO,2,0,70,124,157,173,250,295,299,120
INDÚSTRIA CATAGUASES DE PAPEL LTDA,0,0,0,0,0,0,51,953,339,104
BANCO CENTRAL DO BRASIL,60,262,378,382,150,41,38,22,25,10
SUPERIOR TRIBUNAL DE JUSTIÇA,49,52,74,71,126,132,139,173,193,102
BANCO ABN AMRO REAL SA,51,72,145,151,89,60,137,64,30,28
BANCO BANERJ SA,24,33,131,99,106,109,121,99,93,9
AGÊNCIA NACIONAL DE SAÚDE SUPLEMENTAR - ANS,0,0,0,18,69,25,144,210,214,131
MINISTÉRIO PÚBLICO FEDERAL,32,27,47,53,82,79,90,125,132,103
MUNICÍPIO DE TERESÓPOLIS,1,0,0,5,2,1,2,25,709,9
BANCO ITAÚ SA,33,52,70,94,59,63,86,99,118,42
PETRÓLEO BRASILEIRO SA - PETROBRAS,8,7,26,31,40,269,107,62,62,43
LIGHT SERVIÇOS DE ELETRICIDADE SA,2,8,57,125,30,68,167,109,63,12
CAIXA DE PREVIDÊNCIA DOS FUNCIONÁRIOS DO BANCO DO BRASIL - PREVI,5,8,10,11,24,21,103,139,118,41
COMPANHIA ESTADUAL DE ÁGUAS E ESGOTOS - CEDAE,4,6,10,19,11,23,97,62,136,112
PAES MENDONÇA SA,7,32,71,152,46,29,20,33,33,24
UNIBANCO - UNIÃO DE BANCOS BRASILEIROS SA,17,36,39,79,30,44,33,21,78,56
UNIÃO FEDERAL,322,3,11,5,0,0,0,0,0,0
BANCO DO BRASIL SA,18,35,46,68,15,26,37,37,36,20
MINERAÇÃO RIO POMBA CATAGUASES LTDA,0,0,0,0,0,0,0,126,178,0
UNIMED- BH COOPERATIVA DE TRABALHO MÉDICO LTDA,0,2,16,30,28,49,66,44,49,18
COMPANHIA SIDERÚRGICA NACIONAL,1,0,1,11,11,7,19,16,191,37
INSTITUTO DE PREVIDÊNCIA DO ESTADO DO RIO DE JANEIRO - IPERJ,30,42,50,47,26,17,38,16,7,8
UNIVERSIDADE FEDERAL DO RIO DE JANEIRO - UFRJ,27,13,15,34,16,22,35,74,21,14
BANCO BRADESCO SA,17,14,20,27,20,32,51,35,28,23
TRIBUNAL DE JUSTIÇA DO ESTADO DO RIO DE JANEIRO,22,28,21,29,22,24,23,29,28,32
SANTA CASA DA MISERICÓRDIA DO RIO DE JANEIRO,6,3,2,0,3,0,55,114,42,9
CÂMARA MUNICIPAL DO RIO DE JANEIRO,16,12,11,22,20,17,34,57,26,18
BANCO SANTANDER SA,0,0,0,0,0,2,4,6,139,82
MUNICÍPIO DE NITERÓI,6,11,20,22,19,27,40,21,25,19
SERVIÇO FEDERAL DE PROCESSAMENTO DE DADOS - SERPRO,26,12,12,36,19,17,9,16,33,24
ASSEMBLÉIA LEGISLATIVA DO ESTADO DO RIO DE JANEIRO,11,13,9,44,16,21,18,13,25,33
CASA NUNES MARTINS SA IMPORTADORA E EXPORTADORA,16,41,23,40,25,13,3,7,19,2
MUNICÍPIO DE VOLTA REDONDA,5,12,19,38,20,22,19,26,19,8
SUPER MERCADO ZONA SUL SA,5,13,35,23,10,12,28,18,29,10
MUNICÍPIO DE ANGRA DOS REIS,2,1,2,3,1,9,23,74,49,7
BANCO SANTANDER (BRASIL) SA,1,1,7,11,19,6,36,60,14,15
TELECOMUNICAÇÕES DE SÃO PAULO SA - TELESP,0,0,0,0,3,10,101,39,10,5
COMPANHIA DE ELETRICIDADE DO ESTADO DO RIO DE JANEIRO - CERJ,2,5,12,94,12,16,17,1,1,1
SANTA CASA DE MISERICÓRDIA DO RIO DE JANEIRO,2,3,0,3,0,1,15,92,36,9
OS MESMOS,3,10,6,15,16,17,46,28,11,8
LUIZ CARLOS DA SILVA NETO,6,6,13,8,9,11,4,29,43,31
NESTLÉ BRASIL LTDA,0,0,0,3,5,10,77,49,14,2
SUPERIOR TRIBUNAL MILITAR,22,11,9,8,10,16,15,22,22,10
PRESIDENTE DO SUPERIOR TRIBUNAL DE JUSTIÇA,2,2,6,6,4,10,14,28,59,11
