nome,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
ESTADO DO RIO GRANDE DO NORTE,920,645,477,237,159,194,1980,1533,440,358
CAIXA ECONÔMICA FEDERAL - CEF,3277,564,359,1170,760,241,77,38,41,10
UNIÃO,127,162,143,365,279,155,340,324,203,56
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,36,20,38,199,169,211,325,69,49,9
UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE - UFRN,87,27,38,50,41,25,54,64,41,134
OS MESMOS,0,1,2,2,0,7,193,71,13,3
MUNICÍPIO DE NATAL,4,2,3,11,10,6,57,50,28,24
UNIÃO FEDERAL,185,0,0,0,1,0,0,0,0,0
MINISTÉRIO PÚBLICO DO ESTADO DO RIO GRANDE DO NORTE,0,0,5,6,21,21,41,41,28,11
MINISTÉRIO PÚBLICO FEDERAL,6,3,14,18,11,14,12,28,14,3
UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,6,6,10,8,9,8,19,3,4,3
TELEMAR NORTE LESTE SA,0,0,0,1,1,6,13,25,23,7
FUNDAÇÃO NACIONAL DE SAÚDE - FUNASA,0,0,1,4,1,1,14,24,11,6
INSTITUTO NACIONAL DE COLONIZAÇÃO E REFORMA AGRÁRIA - INCRA,2,0,5,5,5,4,18,11,5,3
INSTITUTO DE PREVIDÊNCIA DOS SERVIDORES DO ESTADO DO RIO GRANDE DO NORTE - IPERN,0,0,1,0,0,2,13,21,16,4
BANCO DO NORDESTE DO BRASIL SA,1,2,2,11,4,5,6,10,9,6
SUPERIOR TRIBUNAL DE JUSTIÇA,1,0,4,2,5,3,9,9,11,2
TRIBUNAL DE JUSTIÇA DO ESTADO DO RIO GRANDE DO NORTE,2,14,6,7,11,0,0,0,2,3
ASSOCIAÇÃO POTIGUAR DE EDUCAÇÃO E CULTURA - APEC,0,0,0,5,34,1,1,1,2,0
INSTITUTO DE PREVIDÊNCIA DOS SERVIDORES DO ESTADO DO RIO GRANDE DO NORTE - IPE,0,1,2,4,4,3,13,5,5,0
FUNDAÇÃO ESTADUAL DA CRIANÇA E DO ADOLESCENTE - FUNDAC,0,3,3,1,1,1,8,11,7,0
COMPANHIA ENERGÉTICA DO RIO GRANDE DO NORTE - COSERN,0,0,0,4,2,6,8,4,6,5
MUNICÍPIO DE MOSSORÓ,0,0,0,3,5,3,9,0,8,6
EC - ENGENHARIA E CONSULTORIA LTDA,2,0,4,5,9,3,4,1,2,1
BANCO DO BRASIL SA,1,8,2,4,4,1,1,5,1,4
ASSEMBLÉIA LEGISLATIVA DO ESTADO DO RIO GRANDE DO NORTE,0,2,3,9,5,5,6,0,0,0
DEPARTAMENTO NACIONAL DE ESTRADAS DE RODAGEM - DNER,12,2,2,9,3,1,0,0,0,0
SINDICATO DOS EMPREGADOS EM ESTABELECIMENTOS BANCÁRIOS NO ESTADO DO RIO GRANDE DO NORTE,1,4,2,5,6,1,2,2,1,0
GOVERNADORA DO ESTADO DO RIO GRANDE DO NORTE,0,0,0,9,8,2,4,0,0,1
BANCO CENTRAL DO BRASIL,8,3,1,5,1,1,1,1,3,0
BANCO ABN AMRO REAL SA,0,0,5,1,5,2,6,3,2,0
GOVERNADOR DO ESTADO DO RIO GRANDE DO NORTE,0,10,5,2,2,4,1,0,0,0
PROEX - PROJETO E EXECUÇÃO DE ENGENHARIA LTDA,0,2,0,2,12,4,1,0,1,1
PETRÓLEO BRASILEIRO SA - PETROBRAS,0,0,0,0,0,0,3,7,8,5
INSTITUTO DE PREVIDÊNCIA DOS SERVIDORES DO ESTADO DO RIO GRANDE DO NORTE,0,0,0,0,2,1,3,15,1,1
JUIZ DE DIREITO DA 1ª VARA DA FAZENDA PÚBLICA DA COMARCA DE NATAL,12,2,0,0,4,4,0,0,0,0
ECOCIL - EMPRESA DE CONSTRUÇÕES CIVIS LTDA,2,1,0,6,11,1,0,1,0,0
UNIMED NATAL - SOCIEDADE COOPERATIVA DE TRABALHO MÉDICO,0,0,0,0,1,0,1,3,11,6
PROCURADOR-GERAL DA REPÚBLICA,0,1,1,3,4,5,3,0,2,0
CAIXA DE PREVIDÊNCIA DOS FUNCIONÁRIOS DO BANCO DO BRASIL - PREVI,0,0,0,0,0,1,3,9,5,0
UNIVERSIDADE POTIGUAR - UNP,0,0,1,11,6,0,0,0,0,0
CONSTRUTORA A. AZEVEDO LTDA,2,1,2,2,6,4,0,0,1,0
SINDICATO DOS SERVIDORES DA ADMINISTRAÇÃO INDIRETA DO ESTADO DO RIO GRANDE DO NORTE,0,3,3,1,2,2,4,0,2,1
COMPANHIA ENERGÉTICA DO ESTADO DO RIO GRANDE DO NORTE - COSERN,0,0,0,0,1,3,3,5,5,1
MUNICÍPIO DO NATAL,0,0,1,1,0,1,1,6,5,2
AGRO INDUSTRIAL SÃO MARCOS LTDA,0,0,0,0,5,2,7,1,1,1
IONAS CARVALHO DE ARAÚJO FILHO,0,0,0,0,3,0,5,9,0,0
JOÃO BATISTA DA SILVA,10,1,1,3,1,0,1,0,0,0
TELECOMUNICAÇÕES DE SÃO PAULO SA - TELESP,0,0,0,0,0,2,11,4,0,0
FUNDAÇÃO JOSÉ AUGUSTO,0,5,1,1,2,0,4,2,1,0
