nome,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
UNIÃO,11,32,47,148,668,24,49,49,28,19
ESTADO DE RONDÔNIA,12,9,48,31,40,81,75,96,192,75
MINISTÉRIO PÚBLICO DO ESTADO DE RONDÔNIA,2,0,35,25,23,58,62,39,31,26
CAIXA ECONÔMICA FEDERAL - CEF,24,21,51,58,8,5,5,3,0,0
MUNICÍPIO DE PORTO VELHO,0,1,0,56,7,6,2,13,38,4
MINISTÉRIO PÚBLICO FEDERAL,6,2,3,15,15,15,16,14,13,6
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,2,8,2,14,8,10,18,11,5,9
GOVERNADOR DO ESTADO DE RONDÔNIA,2,7,3,14,7,4,5,7,14,4
BRASIL TELECOM SA,0,0,0,1,3,6,32,23,1,0
SUPERIOR TRIBUNAL DE JUSTIÇA,2,2,3,1,15,16,3,6,8,4
ASSEMBLÉIA LEGISLATIVA DO ESTADO DE RONDÔNIA,2,2,2,12,6,6,4,4,15,4
CENTRAIS ELÉTRICAS DO NORTE DO BRASIL SA - ELETRONORTE,0,0,0,0,0,4,35,9,5,4
BANCO DA AMAZÔNIA SA,2,11,9,7,5,5,7,4,3,1
BANCO DO BRASIL SA,4,9,6,10,4,1,3,5,2,6
UNIÃO FEDERAL,36,0,0,0,0,0,0,0,0,0
MINISTÉRIO PÚBLICO ESTADUAL,13,12,6,1,0,0,0,0,0,0
SINDICATO DOS SERVIDORES PÚBLICOS FEDERAIS NO ESTADO DE RONDÔNIA - SINDSEFRO,3,0,4,9,0,0,5,9,0,1
TELECOMUNICAÇÕES DE SÃO PAULO SA - TELESP,0,0,0,0,0,0,9,21,0,0
BANCO DA AMAZÔNIA SA - BASA,0,0,0,0,0,0,6,8,6,8
SINDICATO DOS TRABALHADORES NAS INDÚSTRIAS URBANAS DO ESTADO DE RONDÔNIA - SINDUR,0,0,0,0,2,0,20,2,2,1
MUNICÍPIO DE JI-PARANÁ,0,1,2,0,4,2,4,8,5,1
COMPANHIA DE ÁGUAS E ESGOTOS DE RONDÔNIA - CAERD,0,0,0,0,0,0,0,17,7,0
TRIBUNAL DE JUSTIÇA DO ESTADO DE RONDÔNIA,0,0,4,2,0,3,3,8,2,2
MÁRIO CALIXTO FILHO,0,1,1,7,8,2,2,2,1,0
MUNICÍPIO DE ARIQUEMES,0,0,11,2,0,1,2,2,0,2
BANCO BRADESCO SA,0,2,2,1,2,3,7,2,0,0
FUNDAÇÃO NACIONAL DE SAÚDE - FUNASA,0,0,1,2,0,0,1,2,5,6
MINISTÉRIO PÚBLICO ELEITORAL,0,0,0,7,0,2,2,4,2,0
INSTITUTO NACIONAL DE COLONIZAÇÃO E REFORMA AGRÁRIA - INCRA,4,0,0,2,0,2,2,3,1,3
OSVALDO DE ALCÂNTARA,0,0,0,0,0,3,5,6,2,0
INSTITUTO DE PREVIDÊNCIA DOS SERVIDORES PÚBLICOS DO ESTADO DE RONDÔNIA - IPERON,2,0,1,1,0,3,1,4,2,2
MINISTÉRIO PÚBLICO DO TRABALHO,2,0,0,1,0,0,0,6,4,1
FUNDAÇÃO UNIVERSIDADE FEDERAL DE RONDÔNIA - UNIR,3,1,2,1,2,0,1,3,1,0
VALDIR RAUPP DE MATOS,0,0,0,9,2,0,2,0,0,0
MUNICÍPIO DE CACOAL,0,0,9,0,0,0,0,0,3,1
CONDOR VIGILÂNCIA E SEGURANÇA LTDA,0,0,0,0,0,0,0,0,6,7
BRUNO RODRIGUES,0,0,0,0,2,4,5,0,1,1
JOSÉ ALVES VIEIRA GUEDES,0,0,4,1,3,0,3,1,0,0
SINDICATO DOS EMPREGADOS EM ESTABELECIMENTOS BANCÁRIOS DO ESTADO DO ACRE,0,7,2,0,0,0,0,1,0,2
CENTRAIS ELÉTRICAS DE RONDÔNIA SA - CERON,0,3,0,1,2,3,1,2,0,0
SINTERO - SINDICATO DOS TRABALHADORES EM EDUCAÇÃO NO ESTADO DE RONDÔNIA,1,0,1,1,1,0,1,6,1,0
INSTITUTO BRASILEIRO DO MEIO AMBIENTE E DOS RECURSOS NATURAIS RENOVÁVEIS - IBAMA,0,0,0,2,0,2,5,3,0,0
ESTADO DO ACRE,0,0,0,0,0,0,8,3,1,0
FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCAÇÃO - FNDE,2,6,1,1,1,0,0,0,0,0
TRESCINCO ADMINISTRADORA E CONSÓRCIO SC LTDA,0,1,4,3,1,0,1,0,0,0
NATANAEL JOSÉ DA SILVA,0,0,0,0,0,0,3,1,5,1
PROCURADOR-GERAL DA REPÚBLICA,0,0,1,0,3,2,3,0,1,0
CENTRAIS ELÉTRICAS DO NORTE DO BRASIL SA,0,0,0,0,0,0,6,4,0,0
ATALAIA SA COMÉRCIO E INDÚSTRIA,0,0,0,4,0,2,2,1,0,0
SINDICATO DOS SERVIDORES DA POLÍCIA CIVIL DO ESTADO DE RONDÔNIA - SINSEPOL,1,0,1,1,3,0,0,0,1,2
