nome,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,3013,1951,3736,4750,1556,2091,4092,4390,1166,390
ESTADO DO RIO GRANDE DO SUL,516,392,1497,5937,3017,2252,2320,3067,1902,785
CAIXA ECONÔMICA FEDERAL - CEF,4220,8796,2635,800,333,889,819,457,175,74
UNIÃO,318,400,1128,2182,1468,1697,4191,3856,1609,711
INSTITUTO DE PREVIDÊNCIA DO ESTADO DO RIO GRANDE DO SUL - IPERGS,110,38,1745,1915,1362,967,1038,1597,784,155
MINISTÉRIO PÚBLICO DO ESTADO DO RIO GRANDE DO SUL,3,3,110,324,672,1404,1548,935,659,415
MUNICÍPIO DE PORTO ALEGRE,250,200,1358,746,386,260,228,148,95,55
COMPANHIA ESTADUAL DE ENERGIA ELÉTRICA - CEEE,414,99,168,422,639,358,444,384,301,144
BANCO ITAÚ SA,119,138,236,574,603,399,689,408,153,41
BRASIL TELECOM SA,0,1,8,134,167,74,80,257,758,1425
BANCO ABN AMRO REAL SA,22,27,75,219,228,250,771,720,211,107
BANCO DO BRASIL SA,199,164,326,423,339,295,325,217,130,59
UNIBANCO - UNIÃO DE BANCOS BRASILEIROS SA,105,136,274,474,348,185,209,142,85,116
FUNDAÇÃO BANRISUL DE SEGURIDADE SOCIAL,2,0,0,0,6,65,434,430,532,111
BANCO SANTANDER MERIDIONAL SA,0,1,8,79,124,173,632,377,156,22
BANCO BRADESCO SA,35,37,57,120,131,161,360,287,97,13
EMPRESA PÚBLICA DE TRANSPORTE E CIRCULAÇÃO SA - EPTC,0,1,0,12,232,518,374,39,17,3
BANCO DO ESTADO DO RIO GRANDE DO SUL SA - BANRISUL,96,69,165,255,174,76,113,81,57,26
MINISTÉRIO PÚBLICO FEDERAL,34,53,79,99,105,123,117,112,88,87
FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCAÇÃO - FNDE,285,274,216,40,9,3,10,3,5,2
SUPERIOR TRIBUNAL DE JUSTIÇA,7,11,26,26,71,57,70,93,267,114
MONTEPIO DOS FUNCIONÁRIOS DO MUNICÍPIO DE PORTO ALEGRE - MFMPA,29,74,322,179,16,21,15,0,0,0
DEFENSORIA PÚBLICA DA UNIÃO,0,0,0,1,7,17,35,84,313,105
DEPARTAMENTO AUTÔNOMO DE ESTRADAS DE RODAGEM - DAERRS,1,1,5,75,151,192,81,34,11,11
BANCO VOLKSWAGEN SA,1,4,25,52,32,25,146,185,71,6
BANCO FINASA SA,0,0,0,0,0,2,57,257,181,2
OS MESMOS,18,7,22,86,56,43,91,128,40,4
UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL - UFRGS,46,20,62,59,59,42,59,64,58,24
UNIVERSIDADE FEDERAL DE SANTA MARIA,15,12,75,108,74,45,75,43,22,15
DEPARTAMENTO MUNICIPAL DE ÁGUAS E ESGOTOS - DMAE,47,44,259,81,13,9,3,0,1,11
INSTITUTO NACIONAL DE COLONIZAÇÃO E REFORMA AGRÁRIA - INCRA,7,4,8,7,13,8,71,148,158,31
BANCO SANTANDER (BRASIL) SA,0,0,2,9,23,61,191,95,31,16
"BV FINANCEIRA SA - CRÉDITO, FINANCIAMENTO E INVESTIMENTO",0,0,0,0,1,0,50,237,126,7
BANCO BMG SA,0,0,0,0,2,12,112,174,98,23
BANCO MERIDIONAL DO BRASIL SA,127,56,97,67,30,15,14,8,1,0
CAIXA DE PREVIDÊNCIA DOS FUNCIONÁRIOS DO BANCO DO BRASIL - PREVI,0,0,0,0,5,12,50,30,129,165
BANCO SUDAMERIS BRASIL SA,11,1,32,49,35,27,125,94,14,1
BANCO CENTRAL DO BRASIL,93,48,64,59,48,19,19,18,11,10
FININVEST SA ADMINISTRADORA DE CARTÕES DE CRÉDITO,0,0,0,61,264,27,22,0,0,0
DAER - DEPARTAMENTO AUTÔNOMO DE ESTRADAS DE RODAGEM DO RIO GRANDE DO SUL,3,0,4,30,182,120,0,0,0,0
BANCO GENERAL MOTORS SA,4,7,33,43,67,23,32,94,23,2
FUNDAÇÃO DOS ECONOMIÁRIOS FEDERAIS - FUNCEF,2,1,1,20,23,29,30,62,76,82
BANCO FIAT SA,6,11,31,69,43,34,42,51,20,0
ABN AMRO ARRENDAMENTO MERCANTIL SA,3,2,43,87,92,33,26,8,8,0
RIO GRANDE ENERGIA SA,0,0,1,1,5,8,58,53,101,55
CENTRAIS ELÉTRICAS BRASILEIRAS SA - ELETROBRÁS,0,0,0,9,43,60,70,46,31,9
TRIBUNAL DE JUSTIÇA DO ESTADO DO RIO GRANDE DO SUL,26,22,15,21,23,35,51,24,28,17
MUNICÍPIO DE GRAVATAÍ,38,9,21,56,8,4,24,39,41,12
BANCO A. J. RENNER SA,6,4,17,28,33,22,84,46,6,0
MUNICÍPIO DE CAXIAS DO SUL,4,1,7,17,35,33,36,44,31,30
