nome,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,1542,1872,2808,4034,1348,2657,2042,1290,439,203
CAIXA ECONÔMICA FEDERAL - CEF,3319,3564,1442,356,154,683,820,353,144,25
UNIÃO,168,329,721,1190,581,894,1907,1649,1024,545
ESTADO DE SANTA CATARINA,553,421,328,232,450,254,549,669,507,229
INSTITUTO DE PREVIDÊNCIA DO ESTADO DE SANTA CATARINA - IPESC,158,118,1270,1005,58,7,16,159,60,7
MINISTÉRIO PÚBLICO DO ESTADO DE SANTA CATARINA,0,0,39,47,83,119,150,139,160,98
BANCO DO ESTADO DE SANTA CATARINA SA - BESC,8,2,21,100,100,125,99,51,219,5
BANCO DO BRASIL SA,40,26,67,114,118,79,108,76,54,29
MINISTÉRIO PÚBLICO FEDERAL,16,120,69,58,76,96,89,82,52,40
FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCAÇÃO - FNDE,209,183,161,59,9,3,11,1,3,1
BANCO BRADESCO SA,15,10,10,22,44,37,61,87,55,39
CENTRAIS ELÉTRICAS BRASILEIRAS SA - ELETROBRÁS,15,2,3,32,54,73,57,26,38,5
FUNDAÇÃO DOS ECONOMIÁRIOS FEDERAIS - FUNCEF,0,0,2,3,2,18,114,87,53,25
CENTRAIS ELÉTRICAS DE SANTA CATARINA SA - CELESC,0,5,9,14,10,34,137,47,36,6
INSTITUTO NACIONAL DE COLONIZAÇÃO E REFORMA AGRÁRIA - INCRA,3,13,5,2,4,14,72,85,72,20
SUPERIOR TRIBUNAL DE JUSTIÇA,5,29,6,10,25,57,37,28,44,23
SERVIÇO BRASILEIRO DE APOIO ÀS MICRO E PEQUENAS EMPRESAS - SEBRAE,0,0,5,100,58,35,28,16,6,11
BRASIL TELECOM SA,0,0,2,6,20,18,28,90,46,41
OS MESMOS,2,0,5,25,12,31,70,56,20,5
MUNICÍPIO DE FLORIANÓPOLIS,1,4,5,10,4,16,72,33,36,40
BANCO CENTRAL DO BRASIL,77,29,32,24,15,6,10,2,2,1
BANCO ABN AMRO REAL SA,1,2,2,13,10,23,38,42,17,21
UNIVERSIDADE FEDERAL DE SANTA CATARINA - UFSC,5,2,10,14,10,13,34,29,45,7
BANCO ITAÚ SA,0,6,3,23,10,23,41,44,12,1
SINDICATO DOS TRABALHADORES EM SAÚDE E PREVIDÊNCIA DO SERVIÇO PÚBLICO FEDERAL NO ESTADO DE SANTA CATARINA - SINDPREVSSC,1,0,10,13,23,51,29,9,3,3
AGÊNCIA NACIONAL DE ENERGIA ELÉTRICA - ANEEL,0,0,0,0,0,9,96,23,5,5
UNIVERSIDADE FEDERAL DE SANTA CATARINA,4,6,28,20,13,8,26,1,7,0
MUNICÍPIO DE BLUMENAU,1,2,2,0,3,3,7,39,33,17
WERNER ISLEB,0,0,0,0,0,89,16,0,0,0
BANCO SANTANDER MERIDIONAL SA,0,0,0,2,13,26,29,28,4,2
COMERCIALIZADORA BRASILEIRA DE ENERGIA EMERGENCIAL - CBEE,0,0,0,0,0,6,69,19,7,2
UNIÃO FEDERAL,93,1,4,4,0,0,0,0,0,0
INSTITUTO BRASILEIRO DO MEIO AMBIENTE E DOS RECURSOS NATURAIS RENOVÁVEIS - IBAMA,3,1,6,24,29,10,9,5,8,4
UNIBANCO - UNIÃO DE BANCOS BRASILEIROS SA,1,3,6,12,9,17,17,8,5,16
ASSEMBLÉIA LEGISLATIVA DO ESTADO DE SANTA CATARINA,16,13,9,13,5,8,3,13,8,6
GOVERNADOR DO ESTADO DE SANTA CATARINA,17,8,9,12,6,9,3,15,8,5
BANCO DO ESTADO DE SANTA CATARINA SA,0,0,0,0,0,11,28,41,9,1
FUNDAÇÃO CELESC DE SEGURIDADE SOCIAL - CELOS,0,0,1,2,10,10,15,18,32,1
REDE FERROVIÁRIA FEDERAL SA - RFFSA (EM LIQUIDAÇÃO),27,20,25,7,4,2,0,2,0,0
MUNICÍPIO DE JOINVILLE,3,2,6,3,7,13,10,15,20,7
MUNICÍPIO DE CRICIÚMA,2,0,3,0,5,5,4,10,34,15
TRIBUNAL DE JUSTIÇA DO ESTADO DE SANTA CATARINA,2,6,10,9,8,11,4,6,10,11
MINISTÉRIO PÚBLICO DO TRABALHO,3,1,0,2,0,2,38,4,20,4
MUNICÍPIO DE ITAJAÍ,2,4,0,1,3,2,4,27,19,5
COMPANHIA CATARINENSE DE ÁGUAS E SANEAMENTO - CASAN,0,0,5,14,2,12,1,5,6,18
CONSELHO REGIONAL DA ORDEM DOS MÚSICOS DO BRASIL NO ESTADO DE SANTA CATARINA,0,0,0,1,22,24,5,8,3,0
SERVIÇO BRASILEIRO DE APOIO AS MICRO E PEQUENAS EMPRESAS DE SANTA CATARINA - SEBRAESC,0,0,5,35,12,6,2,2,0,0
MUNICÍPIO DE TUBARÃO,0,0,1,0,4,1,1,12,36,5
FUNDAÇÃO CODESC DE SEGURIDADE SOCIAL - FUSESC,0,0,0,0,0,1,0,6,47,4
WERNER ISLEB E ADVOGADOS ASSOCIADOS SC,0,0,0,0,0,44,5,0,1,0
