"uf","litigante","processos"
"AC","HELIO HIRASAWA","0"
"AC","ALBERTO CAVALCANTE BRAGA","0"
"AC","UNIAO","35"
"AC","ROBERTO MAIA","0"
"AC","PROCURADORIA-GERAL FEDERAL","1"
"AC","PROCURADORIA-GERAL DA FAZENDA NACIONAL","1"
"AC","CAIXA ECONOMICA FEDERAL - CEF","0"
"AC","ALBERTO CAVALCANTE BRAGA ","0"
"AC","PROCURADORIA-GERAL FEDERAL ","0"
"AC","ADVOGADO-GERAL DA UNIAO","5"
"AC","INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS","1"
"AL","HELIO HIRASAWA","0"
"AL","ALBERTO CAVALCANTE BRAGA","0"
"AL","UNIAO","125"
"AL","ROBERTO MAIA","0"
"AL","PROCURADORIA-GERAL FEDERAL","31"
"AL","PROCURADORIA-GERAL DA FAZENDA NACIONAL","32"
"AL","CAIXA ECONOMICA FEDERAL - CEF","19"
"AL","ALBERTO CAVALCANTE BRAGA ","0"
"AL","PROCURADORIA-GERAL FEDERAL ","0"
"AL","ADVOGADO-GERAL DA UNIAO","58"
"AL","INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS","69"
"AM","HELIO HIRASAWA","0"
"AM","ALBERTO CAVALCANTE BRAGA","0"
"AM","UNIAO","93"
"AM","ROBERTO MAIA","0"
"AM","PROCURADORIA-GERAL FEDERAL","20"
"AM","PROCURADORIA-GERAL DA FAZENDA NACIONAL","13"
"AM","CAIXA ECONOMICA FEDERAL - CEF","8"
"AM","ALBERTO CAVALCANTE BRAGA ","0"
"AM","PROCURADORIA-GERAL FEDERAL ","0"
"AM","ADVOGADO-GERAL DA UNIAO","85"
"AM","INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS","35"
"AP","HELIO HIRASAWA","0"
"AP","ALBERTO CAVALCANTE BRAGA","0"
"AP","UNIAO","12"
"AP","ROBERTO MAIA","0"
"AP","PROCURADORIA-GERAL FEDERAL","0"
"AP","PROCURADORIA-GERAL DA FAZENDA NACIONAL","0"
"AP","CAIXA ECONOMICA FEDERAL - CEF","0"
"AP","ALBERTO CAVALCANTE BRAGA ","0"
"AP","PROCURADORIA-GERAL FEDERAL ","0"
"AP","ADVOGADO-GERAL DA UNIAO","9"
"AP","INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS","2"
"BA","HELIO HIRASAWA","0"
"BA","ALBERTO CAVALCANTE BRAGA","7"
"BA","UNIAO","231"
"BA","ROBERTO MAIA","0"
"BA","PROCURADORIA-GERAL FEDERAL","114"
"BA","PROCURADORIA-GERAL DA FAZENDA NACIONAL","61"
"BA","CAIXA ECONOMICA FEDERAL - CEF","106"
"BA","ALBERTO CAVALCANTE BRAGA ","0"
"BA","PROCURADORIA-GERAL FEDERAL ","0"
"BA","ADVOGADO-GERAL DA UNIAO","100"
"BA","INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS","1153"
"CE","HELIO HIRASAWA","0"
"CE","ALBERTO CAVALCANTE BRAGA","0"
"CE","UNIAO","388"
"CE","ROBERTO MAIA","0"
"CE","PROCURADORIA-GERAL FEDERAL","53"
"CE","PROCURADORIA-GERAL DA FAZENDA NACIONAL","88"
"CE","CAIXA ECONOMICA FEDERAL - CEF","25"
"CE","ALBERTO CAVALCANTE BRAGA ","0"
"CE","PROCURADORIA-GERAL FEDERAL ","0"
"CE","ADVOGADO-GERAL DA UNIAO","224"
"CE","INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS","96"
"DF","HELIO HIRASAWA","0"
"DF","ALBERTO CAVALCANTE BRAGA","1"
"DF","UNIAO","1612"
"DF","ROBERTO MAIA","0"
"DF","PROCURADORIA-GERAL FEDERAL","86"
"DF","PROCURADORIA-GERAL DA FAZENDA NACIONAL","237"
"DF","CAIXA ECONOMICA FEDERAL - CEF","208"
"DF","ALBERTO CAVALCANTE BRAGA ","0"
"DF","PROCURADORIA-GERAL FEDERAL ","0"
"DF","ADVOGADO-GERAL DA UNIAO","1326"
"DF","INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS","235"
"ES","HELIO HIRASAWA","0"
"ES","ALBERTO CAVALCANTE BRAGA","0"
"ES","UNIAO","195"
"ES","ROBERTO MAIA","0"
"ES","PROCURADORIA-GERAL FEDERAL","27"
"ES","PROCURADORIA-GERAL DA FAZENDA NACIONAL","27"
"ES","CAIXA ECONOMICA FEDERAL - CEF","6"
"ES","ALBERTO CAVALCANTE BRAGA ","0"
"ES","PROCURADORIA-GERAL FEDERAL ","0"
"ES","ADVOGADO-GERAL DA UNIAO","156"
"ES","INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS","136"
"GO","HELIO HIRASAWA","0"
"GO","ALBERTO CAVALCANTE BRAGA","0"
"GO","UNIAO","75"
"GO","ROBERTO MAIA","0"
"GO","PROCURADORIA-GERAL FEDERAL","64"
"GO","PROCURADORIA-GERAL DA FAZENDA NACIONAL","38"
"GO","CAIXA ECONOMICA FEDERAL - CEF","20"
"GO","ALBERTO CAVALCANTE BRAGA ","0"
"GO","PROCURADORIA-GERAL FEDERAL ","0"
"GO","ADVOGADO-GERAL DA UNIAO","18"
"GO","INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS","24"
"MA","HELIO HIRASAWA","0"
"MA","ALBERTO CAVALCANTE BRAGA","0"
"MA","UNIAO","60"
"MA","ROBERTO MAIA","0"
"MA","PROCURADORIA-GERAL FEDERAL","13"
"MA","PROCURADORIA-GERAL DA FAZENDA NACIONAL","10"
"MA","CAIXA ECONOMICA FEDERAL - CEF","2"
"MA","ALBERTO CAVALCANTE BRAGA ","0"
"MA","PROCURADORIA-GERAL FEDERAL ","0"
