nome da entidade,UF,quantidade
ESTADO DO AMAZONAS,AM,191
UNIÃO,AM,177
ADVOGADO-GERAL DA UNIÃO,AM,159
PROCURADORIA-GERAL FEDERAL,AM,88
FUNDAÇÃO NACIONAL DO ÍNDIO - FUNAI,AM,77
TRIBUNAL SUPERIOR DO TRABALHO,AM,71
MARIA IRACEMA PEDROSA,AM,61
DEFENSORIA PÚBLICA DA UNIÃO,AM,49
PGE-AM - RICARDO ANTONIO REZENDE DE JESUS,AM,35
PGE-AM - R. PAULO DOS SANTOS NETO,AM,31
FLÁVIO CORDEIRO ANTONY,AM,30
PROCURADOR-GERAL DO ESTADO DO AMAZONAS,AM,30
ESTADO DO AMAZONAS,AM,26
MINISTÉRIO PÚBLICO DO ESTADO DO AMAZONAS,AM,26
MUNICÍPIO DE MANAUS,AM,26
DÉCIO FREIRE,AM,24
RAINEYRE MONTEIRO ROCHA,AM,24
MANAUS ENERGIA SA,AM,20
JUIZ DO TRABALHO DA 6ª VARA DO TRABALHO DE MANAUS,AM,19
HELCIO RODRIGUES MOTTA,AM,16
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,AM,16
OLDENEY SÁ VALENTE,AM,16
JUIZ DE DIREITO DA VARA ESPECIALIZADA DA FAZENDA PÚBLICA MUNICIPAL DA COMARCA DE MANAUS,AM,15
PGE-AM - CARLOS ALEXANDRE M. C. M. DE MATOS,AM,15
ALFREDO PEREIRA DO NASCIMENTO,AM,14
JUÍZA DE DIREITO DA VARA ESPECIALIZADA DA FAZENDA PÚBLICA MUNICIPAL DA COMARCA DE MANAUS,AM,14
MINISTÉRIO PÚBLICO FEDERAL,AM,14
PGE-AM - MARCELO AUGUSTO A. DA CUNHA,AM,14
ANIELLO MIRANDA AUFIERO,AM,13
JOSÉ ELDAIR DE SOUZA MARTINS,AM,13
CELY CRISTINA DOS SANTOS PEREIRA,AM,12
DANIEL DA SILVA CHAVES,AM,11
MARSYL OLIVEIRA MARQUES,AM,11
PGE-AM - ALZIRA FARIAS ALMEIDA DA FONSECA DE GÓES,AM,11
PGE-AM - ELLEN FLORÊNCIO SANTOS ROCHA,AM,10
PGE-AM - RAIMUNDO PAULO DOS SANTOS NETO,AM,10
CAIXA ECONÔMICA FEDERAL - CEF,AM,9
