nome da entidade,UF,quantidade
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,RS,3741
CAIXA ECONÔMICA FEDERAL - CEF,RS,2635
PGE-RS - YASSODARA CAMOZZATO,RS,1951
INSTITUTO DE PREVIDÊNCIA DO ESTADO DO RIO GRANDE DO SUL - IPERGS,RS,1745
TELMO RICARDO SCHORR,RS,1552
ESTADO DO RIO GRANDE DO SUL,RS,1496
MUNICÍPIO DE PORTO ALEGRE,RS,1358
UNIÃO,RS,1139
ROBERTO MAIA,RS,692
INGRID MERI ALMEIDA DE ABREU PINHEIRO,RS,636
SIEGFRIED A. GHILARDI RITTA,RS,584
PGE-RS - JOSÉ GUILHERME KLIEMANN,RS,554
ADVOGADO-GERAL DA UNIÃO,RS,519
PGE-RS - KARINA DA SILVA BRUM,RS,490
PFN - RICARDO PY GOMES DA SILVEIRA,RS,437
ELZA OLIVEIRA DOS SANTOS,RS,434
DAVI DUARTE,RS,428
LEANDRO RAMOS SCHENFELD,RS,427
PATRÍCIA HELENA BONZANINI,RS,390
DAISSON SILVA PORTANOVA,RS,379
DANIEL VON HOHENDORFF,RS,340
BANCO DO BRASIL SA,RS,326
MONTEPIO DOS FUNCIONÁRIOS DO MUNICÍPIO DE PORTO ALEGRE - MFMPA,RS,322
CARLOS DOS SANTOS DOYLE,RS,299
LORENA HAUSSEN DAMIANI,RS,295
HELOÍSA SABEDOTTI,RS,288
CLÓVIS JUAREZ KEMMERICH,RS,280
MILTON DRUMOND CARVALHO,RS,279
UNIBANCO - UNIÃO DE BANCOS BRASILEIROS SA,RS,274
MARIÂNGELA DIAS BANDEIRA,RS,261
DEPARTAMENTO MUNICIPAL DE ÁGUAS E ESGOTOS - DMAE,RS,259
JOÃO MANOEL CARVALHO DO AMARAL,RS,255
SIBELE REGINA LUZ GRECCO,RS,238
BANCO ITAÚ SA,RS,236
CRISTINA PAVÃO SCHMITZ,RS,233
FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCAÇÃO - FNDE,RS,216
DÉCIO GIANELLI MARTINS,RS,198
CARLA CRISTINA FIOREZE,RS,197
GUSTAVO BORSA ANTONELLO,RS,193
CARLOS SILVEIRA HESSEL JUNIOR,RS,191
CRISTIANE CATARINA DE OLIVEIRA FERREIRA,RS,186
COMPANHIA ESTADUAL DE ENERGIA ELÉTRICA - CEEE,RS,169
BANCO DO ESTADO DO RIO GRANDE DO SUL SA - BANRISUL,RS,166
ROGÉRIO AMPESSAN COSER BACCHI,RS,166
RUI COSTA DOS SANTOS,RS,164
EDUARDO SILVA DE OLIVEIRA,RS,144
CLÁUDIO HIRAN ALVES DUARTE,RS,140
EDMILSON TODESCHINI,RS,138
CARMEM REGINA VILAR DUGACSEK,RS,133
FRANCISCO ANTONIO DE OLIVEIRA STOCKINGER,RS,128
JAIME CIPRIANI,RS,128
EDISON DE SOUZA,RS,124
FRANCESCO COLOMBO FILHO,RS,122
PAULO CEZAR CANABARRO UMPIERRE,RS,122
ANAURY SPERB BARRETO,RS,120
HILDO WOLLMANN,RS,120
JOÃO ARTHUR BONORINO FILHO,RS,117
DEPARTAMENTO MUNICIPAL DE LIMPEZA URBANA - DMLU,RS,111
ELINORA MARIA DA ROSA ISOLDI,RS,111
MINISTÉRIO PÚBLICO DO ESTADO DO RIO GRANDE DO SUL,RS,111
RAUL PORTANOVA,RS,104
BANCO MERIDIONAL DO BRASIL SA,RS,97
SÉRGIO STEYER,RS,91
OLIVIO SIGNORINI,RS,88
JULIANO RICARDO DE VASCONCELLOS COSTA COUTO,RS,87
ANTÔNIO PEREIRA ALBINO,RS,83
MINISTÉRIO PÚBLICO FEDERAL,RS,83
SÉRGIO MACHADO CEZIMBRA,RS,82
FRANCISCO ANTÔNIO DE OLIVEIRA STOCKINGER,RS,79
ZOLMIRA CARVALHO GONÇALVES,RS,77
CLÉLIA ARISIO JUCKOWSKY,RS,76
EDUARDO VIEIRA GRUNE,RS,76
HERON NUNES ESTRELLA,RS,76
WALDIR FRANCESCHETO,RS,76
BANCO ABN AMRO REAL SA,RS,75
GILBERTO EIFLER MORAES,RS,75
UNIVERSIDADE FEDERAL DE SANTA MARIA,RS,75
PATRÍCIA NETTO LEÃO,RS,74
JOSÉ RENATO DE OLIVEIRA BARCELOS,RS,70
CARLOS LEOPOLDO GRUBER,RS,69
MARIA DE LOURDES POÉTA DORNELLES,RS,69
SINDICATO DOS SERVIDORES FEDERAIS DO RIO GRANDE DO SUL - SINDSERFRS,RS,68
BANCO CENTRAL DO BRASIL,RS,64
JOSÉ ALBERTO COUTO MACIEL,RS,64
PROCURADORIA-GERAL FEDERAL,RS,64
SERGIO STEYER,RS,64
AIRTON TADEU FORBRIG,RS,63
BETHANIA REGINA PEDERNEIRAS FLACH,RS,63
MARIA DE LOURDES DORNELLES MARCOLIN,RS,63
REDE FERROVIÁRIA FEDERAL SA - RFFSA (EM LIQUIDAÇÃO),RS,63
SARJOB ARANHA NETO,RS,63
ÂNGELO AURÉLIO GONÇALVES PARIZ,RS,62
DANIEL FERNANDO NARDÃO,RS,62
MÁRCIA PINHEIRO AMANTÉA,RS,62
PROCURADOR-GERAL DO BANCO CENTRAL DO BRASIL,RS,62
ROBERTO DE FIGUEIREDO CALDAS,RS,62
ROBSON CELESTE CANDELÓRIO,RS,62
UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL - UFRGS,RS,62
CÉSAR ROMEU NAZARIO,RS,61
DELUCI DE FÁTIMA DE SOUZA SAN MARTIN,RS,61
