nome da entidade,UF,quantidade
ESTADO DE MINAS GERAIS,MG,2112
INSTITUTO DE PREVIDÊNCIA DOS SERVIDORES DO ESTADO DE MINAS GERAIS - IPSEMG,MG,595
UNIÃO,MG,555
TELEMAR NORTE LESTE SA,MG,506
ADVOGADO-GERAL DO ESTADO DE MINAS GERAIS,MG,501
MUNICÍPIO DE BELO HORIZONTE,MG,437
ESTADO DE MINAS GERAIS,MG,421
PROCURADORIA-GERAL DA FAZENDA NACIONAL,MG,376
EDUARDO MACHADO DIAS,MG,347
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,MG,329
MINISTÉRIO PÚBLICO DO ESTADO DE MINAS GERAIS,MG,267
JOSÉ ALBERTO COUTO MACIEL,MG,229
ADVOCACIA-GERAL DO ESTADO - MG - VANESSA SARAIVA DE ABREU,MG,215
DÉCIO FLÁVIO GONÇALVES TORRES FREIRE,MG,195
INSTITUTO DE PREVIDÊNCIA DOS SERVIDORES MILITARES DO ESTADO DE MINAS GERAIS - IPSM,MG,188
DÉCIO FREIRE,MG,171
ADVOGADO-GERAL DA UNIÃO,MG,165
WAGNER LIMA NASCIMENTO SILVA,MG,165
MUNICÍPIO DE BELO HORIZONTE,MG,163
ADVOCACIA-GERAL DO ESTADO - MG - NARDELE DÉBORA CARVALHO ESQUERDO,MG,151
ARILDO RICARDO,MG,151
PAULO ANTÔNIO MACHADO DA SILVA FILHO,MG,131
MARCOS CHAVES VIANA,MG,130
TELEMAR NORTE LESTE SA,MG,130
PROCURADORIA-GERAL FEDERAL,MG,127
HUMBERTO LUCCHESI DE CARVALHO,MG,124
JOSÉ MARIA DE SOUZA ANDRADE,MG,112
ADVOCACIA-GERAL DO ESTADO - MG - GRAZIELLE VALERIANO DE PAULA ALVES,MG,99
INSTITUTO DE PREVIDÊNCIA DOS SERVIDORES MILITARES DO ESTADO DE MINAS GERAIS - IPSM,MG,98
JOSÉ MAURÍCIO DE CASTRO,MG,93
FIAT AUTOMÓVEIS SA,MG,86
JOSÉ ARTHUR DE CARVALHO PEREIRA FILHO,MG,86
TNL CONTAX SA,MG,86
CAIXA ECONÔMICA FEDERAL - CEF,MG,85
